"tidydata","Freq"
"1",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"2",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"281",1
"288",1
"29",1
"294",1
"3",1
"30",1
"301",1
"302",1
"308",1
"316",1
"317",1
"320",1
"321",1
"323",1
"325",1
"327",1
"328",1
"341",1
"344",1
"346",1
"354",1
"360",1
"364",1
"366",1
"368",1
"372",1
"376",1
"381",1
"382",1
"383",1
"392",1
"4",1
"408",1
"409",1
"5",1
"6",1
"7",1
"8",1
"9",1
